reaction,GO_HKP,DLKcat,MTLKP,TurNup,UniKP
34dhpactex_reverse_num3,94.81680000000001,,,,
34dhpactex_reverse_num4,96.29042090558659,,,,
3AMACHYD,149.80799644754114,71.2875,2.6339014,33.78409957885742,6.495630766497587
3AMPtex_num1,96.29042090558659,,,,
3AMPtex_num2,33.2825,,,,
3AMPtex_num3,94.81680000000001,,,,
3AMPtex_num4,96.29042090558659,,,,
3AMPtex_reverse_num1,96.29042090558659,,,,
3AMPtex_reverse_num2,33.2825,,,,
3AMPtex_reverse_num3,94.81680000000001,,,,
3AMPtex_reverse_num4,96.29042090558659,,,,
3CMPtex_num1,96.29042090558659,,,,
3CMPtex_num2,33.2825,,,,
3CMPtex_num3,94.81680000000001,,,,
3CMPtex_num4,96.29042090558659,,,,
3CMPtex_reverse_num1,96.29042090558659,,,,
3CMPtex_reverse_num2,33.2825,,,,
3CMPtex_reverse_num3,94.81680000000001,,,,
3CMPtex_reverse_num4,96.29042090558659,,,,
3GMPtex_num1,96.29042090558659,,,,
3GMPtex_num2,33.2825,,,,
3GMPtex_num3,94.81680000000001,,,,
3GMPtex_num4,96.29042090558659,,,,
3GMPtex_reverse_num1,96.29042090558659,,,,
3GMPtex_reverse_num2,33.2825,,,,
3GMPtex_reverse_num3,94.81680000000001,,,,
3GMPtex_reverse_num4,96.29042090558659,,,,
3HAD100_num1,126.88473466186872,,,,
3HAD100_num2,118.43411865124475,,,,
3HAD120_num1,118.43411865124475,,,,
3HAD120_num2,126.88473466186872,,,,
3HAD121_num1,126.88473466186872,,,,
3HAD121_num2,118.43411865124475,,,,
3HAD140_num1,126.88473466186872,,,,
3HAD140_num2,118.43411865124475,,,,
3HAD141_num1,126.88473466186872,,,,
3HAD141_num2,118.43411865124475,,,,
3HAD160_num1,126.88473466186872,,,,
3HAD160_num2,118.43411865124475,,,,
3HAD161_num1,126.88473466186872,,,,
3HAD161_num2,118.43411865124475,,,,
3HAD180_num1,126.88473466186872,,,,
3HAD180_num2,118.43411865124475,,,,
3HAD181_num1,126.88473466186872,,,,
3HAD181_num2,118.43411865124475,,,,
3HAD40_num1,126.88473466186872,,,,
3HAD40_num2,118.43411865124475,,,,
3HAD60_num1,126.88473466186872,,,,
3HAD60_num2,118.43411865124475,,,,
3HAD80_num1,126.88473466186872,,,,
3HAD80_num2,118.43411865124475,,,,
3HBZCT,149.80799644754114,2.6448,,5.811877250671387,10.400376497266745
3HCINNMH,128.2406734749161,3.0367,1.2820866,3.87712025642395,1.3423129350260046
3HPADHi,149.80799644754114,0.4232,15.971897,16.749155044555664,2.273522705767711
3HPPPNH,128.2406734749161,1.3298,1.3805982,3.87712025642395,7.228125235384933
3HPPtex_num1,96.29042090558659,,,,
3HPPtex_num2,96.29042090558659,,,,
3HPPtex_num3,94.81680000000001,,,,
3HPPtex_num4,33.2825,,,,
3HPPtex_reverse_num1,96.29042090558659,,,,
3HPPtex_reverse_num2,96.29042090558659,,,,
3HPPtex_reverse_num3,94.81680000000001,,,,
3HPPtex_reverse_num4,33.2825,,,,
3KGK,178.0,12.0658,17.46019,69.82032775878906,5.688412376681967
3NTD2pp_num1,159.51534075283124,51.8008,27.363518,216.69186401367188,20.83005914936328
3NTD2pp_num2,205.72000000000008,,5.527949,94.15534973144533,20.83005914936328
3NTD4pp_num1,205.72000000000008,8.5149,8.249526,91.3937530517578,20.83005914936328
3NTD4pp_num2,159.51534075283124,,60.097664,210.33624267578125,18.05149927356397
3NTD4pp_num3,117.63095515668913,,8.742382,147.21669006347656,20.83005914936328
3NTD7pp_num1,159.51534075283124,3.9633,84.48002,204.1670379638672,20.83005914936328
3NTD7pp_num2,205.72000000000008,,12.688785,86.1112060546875,18.05149927356397
3NTD9pp_num1,159.51534075283124,0.0423,53.831303,151.6005401611328,20.83005914936328
3NTD9pp_num2,205.72000000000008,,9.118119,74.20227813720703,20.83005914936328
3OAR100,136.71153247522938,3.9,,48.10326766967773,2.929298538756969
3OAR100_reverse,136.71153247522938,2.2495,,61.53378677368164,3.653492800559781
3OAR120,136.71153247522938,1.6686,,48.10326766967773,3.842358408537775
3OAR120_reverse,136.71153247522938,1.9392,,61.53378677368164,10.397610637812583
3OAR121,136.71153247522938,0.4779,,48.10326766967773,4.04186287809693
3OAR140,136.71153247522938,22.3204,,48.10326766967773,4.276039907119107
3OAR140_reverse,136.71153247522938,2.3523,,61.53378677368164,7.552988127207209
3OAR141,136.71153247522938,26.6302,,48.10326766967773,3.370329247802288
3OAR160,136.71153247522938,58.6145,,48.10326766967773,1.1124517833873355
3OAR160_reverse,136.71153247522938,1.716,,61.53378677368164,20.841183569207764
3OAR161,136.71153247522938,56.8169,,48.10326766967773,10.475654966689731
3OAR180,136.71153247522938,9.8469,,48.10326766967773,5.160646713364276
3OAR180_reverse,136.71153247522938,71.8765,,61.53378677368164,3.0651438472701296
3OAR181,136.71153247522938,128.5811,,48.10326766967773,17.527193281992982
3OAR40,136.71153247522938,12.2147,,48.10326766967773,23.20984801412347
3OAR40_reverse,136.71153247522938,1.7251,,61.53378677368164,0.0265707957806125
3OAR60,136.71153247522938,2.2729,,48.10326766967773,1.873480710504212
3OAR60_reverse,136.71153247522938,1.761,,61.53378677368164,4.126232577709164
3OAR80,136.71153247522938,2.8858,,48.10326766967773,1.4545002766521131
3OAR80_reverse,136.71153247522938,1.4637,,61.53378677368164,3.653492800559781
3OAS100_num1,125.69922461667636,22.6805,,6.918361663818359,5.770470497209467
3OAS100_num2,120.79836756009021,,,8.468523979187012,2.83415341835266
3OAS120_num1,120.79836756009021,65.0997,,8.468523979187012,6.875121780834266
3OAS120_num2,125.69922461667636,,,6.918361663818359,2.4122784867804152
3OAS121,125.69922461667636,11.0078,,6.918361663818359,7.897718004824455
3OAS140_num1,125.69922461667636,8.1977,,6.918361663818359,2.7304914725608933
3OAS140_num2,120.79836756009021,,,8.468523979187012,4.201952486334633
3OAS141,125.69922461667636,39.3197,,6.918361663818359,2.177845051255175
3OAS160_num1,125.69922461667636,2.9056,,6.918361663818359,6.245464574809021
3OAS160_num2,120.79836756009021,,,8.468523979187012,3.709008719383553
3OAS161,125.69922461667636,82.3219,,6.918361663818359,5.837987692151454
3OAS180_num1,120.79836756009021,64.2202,,8.468523979187012,3.095314723399571
3OAS180_num2,125.69922461667636,,,6.918361663818359,4.588231538118686
3OAS181,120.79836756009021,2.4441,,8.468523979187012,6.960383956781024
3OAS60_num1,120.79836756009021,29.3964,,8.468523979187012,6.481120339900238
3OAS60_num2,125.69922461667636,,,6.918361663818359,8.724466117339635
3OAS80_num1,125.69922461667636,75.7131,,6.918361663818359,14.343182163764258
3OAS80_num2,120.79836756009021,,,8.468523979187012,7.672849549603623
3OXCOAT,118.43411865124475,8.617,4.5254292,9.320162773132324,3.0651438472701296
3PEPTabcpp_num1,97.76404181117316,17.011,,8.060506820678711,11.334694813446427
3PEPTabcpp_num2,120.50274604186052,,,9.22691535949707,6.7859805272721
3PEPTabcpp_num3,120.42138255624843,,,9.22691535949707,6.7859805272721
3PEPTtex_num1,96.29042090558659,,,,
3PEPTtex_num2,33.2825,,,,
3PEPTtex_num3,94.81680000000001,,,,
3PEPTtex_num4,96.29042090558659,,,,
3PEPTtex_reverse_num1,96.29042090558659,,,,
3PEPTtex_reverse_num2,33.2825,,,,
3PEPTtex_reverse_num3,94.81680000000001,,,,
3PEPTtex_reverse_num4,96.29042090558659,,,,
3SLAR,130.15983707102805,11.2671,,222.9801177978516,8.375467515442104
3UMPtex_num1,96.29042090558659,,,,
3UMPtex_num2,33.2825,,,,
3UMPtex_num3,94.81680000000001,,,,
3UMPtex_num4,96.29042090558659,,,,
3UMPtex_reverse_num1,96.29042090558659,,,,
3UMPtex_reverse_num2,33.2825,,,,
3UMPtex_reverse_num3,94.81680000000001,,,,
3UMPtex_reverse_num4,96.29042090558659,,,,
42A12BOOXpp,169.22268505812133,2.749,31.535576,10.40248680114746,13.543588217899387
4ABZGLUH,130.15983707102805,74.5526,,8.90823745727539,9.685838815944882
4ABZGLUH_reverse,130.15983707102805,14.1972,25.294153,7.908206939697266,8.735721749952106
4ABZGLUtex_num1,96.29042090558659,,,,
4ABZGLUtex_num2,33.2825,,,,
4ABZGLUtex_num3,96.29042090558659,,,,
4ABZGLUtex_num4,94.81680000000001,,,,
4ABZGLUtex_reverse_num1,96.29042090558659,,,,
4ABZGLUtex_reverse_num2,33.2825,,,,
4ABZGLUtex_reverse_num3,96.29042090558659,,,,
4ABZGLUtex_reverse_num4,94.81680000000001,,,,
4ABZGLUtr,23.0,72.0373,,11.683470726013184,2.49260093430609
4ABZGLUtr_reverse,23.0,7.9521,,11.683470726013184,2.458310668233155
4HBZt3pp,207.78250892732828,2.6333,0.9058999,23.2384033203125,4.423306762159818
4HOXPACDtex_num1,96.29042090558659,,,,
4HOXPACDtex_num2,33.2825,,,,
4HOXPACDtex_num3,94.81680000000001,,,,
4HOXPACDtex_num4,96.29042090558659,,,,
4HOXPACDtex_reverse_num1,96.29042090558659,,,,
4HOXPACDtex_reverse_num2,33.2825,,,,
4HOXPACDtex_reverse_num3,94.81680000000001,,,,
4HOXPACDtex_reverse_num4,96.29042090558659,,,,
4HTHRA,115.69288473855748,,,,
4HTHRA_reverse,115.69288473855748,11.2145,2.4719822,17.776649475097656,8.904353075217367
4HTHRK,121.23861216232467,7.5308,1.6856856,3.173168182373047,1.085823384955939
4PCP,136.2454183611817,3.7552,,2.279223680496216,12.544101452368947
4PCPpp,97.76404181117316,9.0659,,4.635335445404053,3.8937879056085154
4PEPTabcpp_num1,120.42138255624843,12.9585,,9.22691535949707,5.628355577673853
4PEPTabcpp_num2,97.76404181117316,,,8.060506820678711,5.160646713364276
4PEPTtex_num1,96.29042090558659,,,,
4PEPTtex_num2,33.2825,,,,
4PEPTtex_num3,94.81680000000001,,,,
4PEPTtex_num4,96.29042090558659,,,,
4PEPTtex_reverse_num1,96.29042090558659,,,,
4PEPTtex_reverse_num2,33.2825,,,,
4PEPTtex_reverse_num3,94.81680000000001,,,,
