analysis_scope,statistical_unit,aggregation_rule,scope_units,method,n,coverage_within_scope_percent,mae_log10,rmse_log10,spearman_log10,bias_log10,within_0.3_fraction,within_1.0_fraction
exclude_hplus_and_water_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1147,UniKP,1147,100,0.8878053151317983,1.109966734601922,0.4063224841434405,-0.4287740205839055,0.1918047079337402,0.6608544027898866
exclude_hplus_and_water_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1147,SELFprot,1147,100,0.9369547247751234,1.221682815352124,0.3445719769906591,-0.0880334063926736,0.2397558849171752,0.6434176111595467
exclude_hplus_and_water_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1147,DLKcat,1147,100,0.9543840594274074,1.314948438369167,0.3104863349373413,-0.3916630874604925,0.2911944202266783,0.5954664341761116
exclude_hplus_and_water_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1147,TurNuP,970,84.56843940714909,0.7188619716762886,1.015427087544418,0.40550871156348,0.0756581100907216,0.356701030927835,0.7185567010309278
exclude_hplus_and_water_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1147,PMAK,970,84.56843940714909,0.7339356873173196,1.008276918448383,0.4112867909293302,0.1081006873049484,0.2958762886597938,0.7587628865979381
exclude_hplus_and_water_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1147,KinForm-L,688,59.98256320836966,0.7714954561696541,0.9820463399877564,0.5392522336377852,-0.2985239171423193,0.2311046511627907,0.7093023255813954
exclude_hplus_and_water_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1147,CatPred,1147,100,0.8394260342436435,1.150300008892668,0.4267099186537972,0.0349639535942063,0.2911944202266783,0.6896251089799477
exclude_hplus_and_water_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1147,DEKP-public-retrained,1147,100,1.043066873131193,1.25863777892997,0.0665574798995037,-0.5810444367258601,0.1525719267654751,0.5361813426329556
exclude_hplus_and_water_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,1147,GO-HKP,1137,99.128160418483,1.059046764421695,1.422427580092068,0.278226984009906,0.9186805590020696,0.2805628847845207,0.5839929639401935
registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,KcatNet,606,100,0.7509433181050349,1.069970750373479,0.4404716277990346,0.1301078375380394,0.3531353135313531,0.7392739273927392
registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,CataPro,606,100,0.7995270853111066,1.030463639547935,0.4978750091565731,-0.2544514566447186,0.2359735973597359,0.7062706270627063
registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,PreTKcat,606,100,0.9469505605275048,1.208811174224613,0.3174290124776979,-0.4111560430639523,0.1996699669966996,0.6155115511551155
registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,UniKP,606,100,0.9006295982631112,1.129637773158738,0.4430575924105122,-0.4197683991520886,0.1996699669966996,0.6501650165016502
registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,SELFprot,606,100,0.9706297363046708,1.270949185273611,0.2984411211428085,-0.052393872119273,0.2227722772277227,0.6237623762376238
registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,DLKcat,606,100,0.9661648984872284,1.30426751500387,0.3212403649509722,-0.317296826616103,0.2656765676567656,0.6072607260726073
registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,TurNuP,537,88.61386138613861,0.7272214695046555,1.047201024778663,0.4218833875181781,0.1013942934636871,0.3649906890130354,0.7337057728119181
registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,PMAK,537,88.61386138613861,0.7650363632547486,1.065595209737496,0.3835262974609256,0.1303178410722532,0.3221601489757914,0.7355679702048417
registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,KinForm-L,397,65.51155115511551,0.7934975460064925,1.038196822104411,0.5506314363275087,-0.3385013665182075,0.2594458438287154,0.7002518891687658
registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,CatPred,606,100,0.8754257534326477,1.243532941394275,0.360994519196723,-0.0136091405897821,0.3168316831683168,0.6782178217821783
registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,DEKP-public-retrained,606,100,1.056294655060809,1.25661662669046,0.1068775814002211,-0.5201246645522226,0.1171617161716171,0.5429042904290429
registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,GO-HKP,606,100,1.131659605709115,1.49150671516995,0.2343351139957207,0.9933750030156602,0.2293729372937293,0.566006600660066
registry_currency_or_cofactor_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,KcatNet,606,100,0.6653114057794113,0.938569555143211,0.4979918364444569,-0.0691915989668958,0.367986798679868,0.7425742574257426
registry_currency_or_cofactor_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,CataPro,606,100,0.7913879232968046,1.007957923405225,0.4227423964626308,-0.0272680687309616,0.2343234323432343,0.7211221122112211
registry_currency_or_cofactor_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,PreTKcat,606,100,0.9085468581936316,1.094302986245953,0.4463836700745562,-0.5599555461144001,0.1402640264026402,0.5726072607260726
registry_currency_or_cofactor_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,UniKP,606,100,0.880544987979158,1.083121040555507,0.4081025317619527,-0.5086188699644449,0.1567656765676567,0.6617161716171617
registry_currency_or_cofactor_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,SELFprot,606,100,0.9163397762721204,1.175218252018964,0.4309262452384689,-0.1556946296876436,0.2541254125412541,0.641914191419142
registry_currency_or_cofactor_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,DLKcat,606,100,0.987118083616656,1.342663455452532,0.3007719354444751,-0.5911579248278116,0.2838283828382838,0.5627062706270627
registry_currency_or_cofactor_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,TurNuP,480,79.20792079207921,0.6843503856291666,0.9305380809656948,0.4186658396430412,-0.0240619298791666,0.3395833333333333,0.7083333333333334
registry_currency_or_cofactor_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,PMAK,480,79.20792079207921,0.6691396293333334,0.8915668775608276,0.5190444122947945,-0.0021431630416666,0.275,0.8166666666666667
registry_currency_or_cofactor_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,KinForm-L,319,52.64026402640264,0.7723468110787448,0.9123284413921504,0.5475448409306488,-0.3496151186561465,0.1755485893416928,0.677115987460815
registry_currency_or_cofactor_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,CatPred,516,85.14851485148515,0.7900328595092846,1.023136374632099,0.5146765168196621,0.066565533069477,0.2693798449612403,0.6996124031007752
registry_currency_or_cofactor_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,DEKP-public-retrained,606,100,1.086507222426021,1.297182797497414,0.086756349541754,-0.7459437372411843,0.1716171617161716,0.462046204620462
registry_currency_or_cofactor_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,606,GO-HKP,606,100,0.9135551065318004,1.272794409787463,0.4008950776169663,0.7648781999475961,0.3580858085808581,0.6303630363036303
registry_carrier_linked_variable_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,34,KcatNet,34,100,0.8188467161113403,0.9712255058376716,0.2819204228811096,0.2790305902640286,0.088235294117647,0.7647058823529411
registry_carrier_linked_variable_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,34,CataPro,34,100,0.8192912268708763,1.016321117424838,0.1262570904940215,0.1027227676315896,0.1176470588235294,0.6470588235294118
registry_carrier_linked_variable_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,34,PreTKcat,34,100,0.741717525362257,0.879901811792444,0.5071823215858772,-0.1291210262190398,0.1764705882352941,0.7352941176470589
registry_carrier_linked_variable_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,34,UniKP,34,100,0.9343869170536124,1.184578450721801,0.0703018225701474,-0.3534373631045108,0.2647058823529412,0.6176470588235294
registry_carrier_linked_variable_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,34,SELFprot,34,100,0.8145847781034246,1.037547295501872,0.1867357955701701,0.1297275624518563,0.2647058823529412,0.7941176470588235
registry_carrier_linked_variable_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,34,DLKcat,34,100,0.8749731529117268,1.255771566042892,0.2040376931563879,-0.3341303797060702,0.3235294117647059,0.5588235294117647
registry_carrier_linked_variable_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,34,TurNuP,30,88.23529411764706,0.9162244779999998,1.120902330795032,0.1161639340697838,-0.1211145913333333,0.2333333333333333,0.5
registry_carrier_linked_variable_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,34,PMAK,30,88.23529411764706,0.8360373296666666,0.9682508453963978,0.2308163454386834,0.226868403,0.0333333333333333,0.7666666666666667
registry_carrier_linked_variable_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,34,KinForm-L,13,38.23529411764706,0.7875948203917731,1.126960518384863,0.3337959611667161,0.4270312919005488,0.2307692307692307,0.7692307692307693
registry_carrier_linked_variable_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,34,CatPred,34,100,0.9501432197022458,1.206616982950099,0.1422751472499002,0.6208467051719965,0.1470588235294117,0.7058823529411765
registry_carrier_linked_variable_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,34,DEKP-public-retrained,34,100,0.9886599898490512,1.16246322873471,0.1668702601665037,-0.5834584338035977,0.1176470588235294,0.5882352941176471
registry_carrier_linked_variable_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,34,GO-HKP,24,70.58823529411765,1.449433867078801,1.771609529326146,-0.2865561163420038,1.367838567192606,0.125,0.5
accession_registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,252,KcatNet,252,100,0.6111154758631817,0.9485406318227252,0.6181345891477501,0.2504740081102831,0.4603174603174603,0.8095238095238095
accession_registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,252,CataPro,252,100,0.6969344539754265,0.9075268214535754,0.6275013920501457,-0.1475269315502008,0.246031746031746,0.7658730158730159
accession_registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,252,PreTKcat,252,100,0.8367068974812436,1.075913347396303,0.4999139504098894,-0.2901478495395366,0.2182539682539682,0.6587301587301587
accession_registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,252,UniKP,252,100,0.8297910507058858,1.023414217503034,0.5571203365882813,-0.3118516159278382,0.1746031746031746,0.6904761904761905
accession_registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,252,SELFprot,252,100,0.8324158401732885,1.122355127559583,0.4114522893605582,0.0451728623681826,0.2658730158730158,0.7063492063492064
accession_registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,252,DLKcat,252,100,0.944472276689528,1.332652381966448,0.3727925830238075,-0.3256346224200716,0.2777777777777778,0.6349206349206349
accession_registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,252,TurNuP,233,92.46031746031746,0.6200368023991417,0.9586179311873994,0.5811931735552767,0.2447672269399142,0.4721030042918455,0.7725321888412017
accession_registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,252,PMAK,233,92.46031746031746,0.7080964776472102,1.033770048546362,0.4841123375551315,0.2956540560506437,0.3991416309012875,0.7424892703862661
accession_registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,252,KinForm-L,229,90.87301587301587,0.6939371567262005,0.8957304940744885,0.6742138253318923,-0.3387799078643478,0.2882096069868995,0.7467248908296943
accession_registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,252,CatPred,252,100,0.7038049772875532,1.061285437607389,0.5498558627058742,0.0700861500631633,0.3968253968253968,0.7658730158730159
accession_registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,252,DEKP-public-retrained,252,100,0.997525174181138,1.155305926105498,0.1976535722721377,-0.3510191453742847,0.123015873015873,0.5436507936507936
accession_registry_other_reactant_rows,benchmark_row,one benchmark row per unit; no within-unit aggregation,252,GO-HKP,252,100,1.208850607248774,1.567306360725999,0.0323338219201123,1.088704731658855,0.2103174603174603,0.5515873015873016
