species,substrate_id,substrate_name,substrate_bigg_id,substrate_kegg_id,substrate_chebi_id,substrate_metanetx_id,substrate_pubchem_cid,substrate_parent_inchikey_connectivity,structure_standardization_status,prior_role_class,substrate_role_class,substrate_role_group,substrate_role_registry_name,substrate_role_evidence,substrate_role_evidence_types,substrate_role_confidence,registry_structure_consistency,role_class_changed,n_reactions,n_entries
ecoli,xmp_e,Xanthosine 5'-phosphate,xmp,C00655,CHEBI:10067;CHEBI:10938;CHEBI:15324;CHEBI:15652;CHEBI:27328;CHEBI:57464,MNXM298,,DCTLYFZHFGENCW,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,4,4
ecoli,xmp_p,Xanthosine 5'-phosphate,xmp,C00655,CHEBI:10067;CHEBI:10938;CHEBI:15324;CHEBI:15652;CHEBI:27328;CHEBI:57464,MNXM298,,DCTLYFZHFGENCW,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,6,6
ecoli,xtp_c,XTP,xtp,C00700,CHEBI:10049;CHEBI:59885;CHEBI:61314,MNXM1860,,CAEFEWVYEZABLA,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,2,2
ecoli,xtsn_c,Xanthosine,xtsn,C01762,CHEBI:10066;CHEBI:15323;CHEBI:18107;CHEBI:27327,MNXM687,,UBORTCNDUKBEOP,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,3,3
ecoli,xtsn_e,Xanthosine,xtsn,C01762,CHEBI:10066;CHEBI:15323;CHEBI:18107;CHEBI:27327,MNXM687,,UBORTCNDUKBEOP,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,4,4
ecoli,xtsn_p,Xanthosine,xtsn,C01762,CHEBI:10066;CHEBI:15323;CHEBI:18107;CHEBI:27327,MNXM687,,UBORTCNDUKBEOP,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,5,5
ecoli,xu5p__D_c,D-Xylulose 5-phosphate,xu5p__D,C00231,CHEBI:13036;CHEBI:16332;CHEBI:21121;CHEBI:27354;CHEBI:4269;CHEBI:57737,MNXM186,,FNZLKVNUWIIPSJ,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,8,8
ecoli,xu5p__L_c,L-Xylulose 5-phosphate,xu5p__L,C03291,CHEBI:13191;CHEBI:16593;CHEBI:21427;CHEBI:57829;CHEBI:6328,MNXM1238,,FNZLKVNUWIIPSJ,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,2,2
ecoli,xyl__D_c,D-Xylose,xyl__D,C00181,CHEBI:53455;CHEBI:65327,MNXM348,,PYMYPHUHKUWMLA,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,xyl__D_e,D-Xylose,xyl__D,C00181,CHEBI:53455;CHEBI:65327,MNXM348,,PYMYPHUHKUWMLA,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,4,4
ecoli,xyl__D_p,D-Xylose,xyl__D,C00181,CHEBI:53455;CHEBI:65327,MNXM348,,PYMYPHUHKUWMLA,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,6,6
ecoli,xylu__D_c,D-Xylulose,xylu__D,C00310;C00312,CHEBI:13035;CHEBI:13190;CHEBI:17140;CHEBI:17399;CHEBI:21120;CHEBI:21425;CHEBI:27353;CHEBI:4268;CHEBI:46514;CHEBI:6326,MNXM597,,ZAQJHHRNXZUBTE,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,3,3
ecoli,xylu__L_c,L-Xylulose,xylu__L,C00310;C00312,CHEBI:13035;CHEBI:13190;CHEBI:17140;CHEBI:17399;CHEBI:21120;CHEBI:21425;CHEBI:27353;CHEBI:4268;CHEBI:46514;CHEBI:6326,MNXM597,,ZAQJHHRNXZUBTE,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,2,2
ecoli,xylu__L_e,L-Xylulose,xylu__L,C00310;C00312,CHEBI:13035;CHEBI:13190;CHEBI:17140;CHEBI:17399;CHEBI:21120;CHEBI:21425;CHEBI:27353;CHEBI:4268;CHEBI:46514;CHEBI:6326,MNXM597,,ZAQJHHRNXZUBTE,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,4,4
ecoli,xylu__L_p,L-Xylulose,xylu__L,C00310;C00312,CHEBI:13035;CHEBI:13190;CHEBI:17140;CHEBI:17399;CHEBI:21120;CHEBI:21425;CHEBI:27353;CHEBI:4268;CHEBI:46514;CHEBI:6326,MNXM597,,ZAQJHHRNXZUBTE,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,5,5
ecoli,zn2_c,Zinc,zn2,C00038;C12570,CHEBI:10113;CHEBI:27368;CHEBI:29105;CHEBI:49972;CHEBI:49982,MNXM149,,PTFCDOFLOPIGGS,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,3,3
ecoli,zn2_e,Zinc,zn2,C00038;C12570,CHEBI:10113;CHEBI:27368;CHEBI:29105;CHEBI:49972;CHEBI:49982,MNXM149,,PTFCDOFLOPIGGS,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,4,4
ecoli,zn2_p,Zinc,zn2,C00038;C12570,CHEBI:10113;CHEBI:27368;CHEBI:29105;CHEBI:49972;CHEBI:49982,MNXM149,,PTFCDOFLOPIGGS,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,6,6
yeast,s_0003,(1->3)-beta-D-glucan,13BDglcn,C00965,CHEBI:37671,MNXM6492,,,missing_smiles,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,5
yeast,s_0006,"(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate",2ahhmd,C04807,CHEBI:57602,MNXM1160,135398612,FCQGJGLSOWZZON,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0008,"(2R,3R)-2,3-dihydroxy-3-methylpentanoate",23dhmp,C06007,CHEBI:49258,MNXM1202,448154,PDGXJDXVGMHUIR,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0009,"(2R,3S)-3-isopropylmalate",3c2hmp,C04411,CHEBI:35121,MNXM891,6419714,RNQHMTFBUSSBJQ,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,3,3
yeast,s_0012,"(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid",micit,C04593,CHEBI:57429,MNXM1694,,HHKPKXCSHMJWCF,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0015,(N(omega)-L-arginino)succinic acid,argsuc,C03406,CHEBI:57472,MNXM722743,439998,KDZOASGQNOPSCU,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0016,"(R)-2,3-dihydroxy-3-methylbutanoate",23dhmb,C04272,CHEBI:49072,MNXM114097,440279,JTEYKUFKXGDTEU,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0017,(R)-4'-phosphopantothenic acid,4ppan,C03492,CHEBI:15905,MNXM415,16755653,XHFVGHPGDLDEQO,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
yeast,s_0018,(R)-5-diphosphomevalonic acid,5dpmev,C01143,CHEBI:57557,MNXM689,,SIGQQUBJQXSAMW,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
