scope,uniprot_id,status,source,target
benchmark,P08204,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P08204.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P08204.pdb
benchmark,P08244,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P08244.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P08244.pdb
benchmark,P08331,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P08331.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P08331.pdb
benchmark,P08337,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/Km/RCSB PDB/P08337.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P08337.pdb
benchmark,P08425,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P08425.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P08425.pdb
benchmark,P08431,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P08431.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P08431.pdb
benchmark,P08432,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P08432.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P08432.pdb
benchmark,P08660,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P08660.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P08660.pdb
benchmark,P08679,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P08679.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P08679.pdb
benchmark,P08997,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P08997.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P08997.pdb
benchmark,P09029,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P09029.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P09029.pdb
benchmark,P09099,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P09099.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P09099.pdb
benchmark,P09126,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/AlphaFold/P09126.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P09126.pdb
benchmark,P09147,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P09147.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P09147.pdb
benchmark,P09148,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P09148.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P09148.pdb
benchmark,P09158,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P09158.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P09158.pdb
benchmark,P09201,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P09201.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P09201.pdb
benchmark,P09394,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/Km/RCSB PDB/P09394.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P09394.pdb
benchmark,P09546,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P09546.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P09546.pdb
benchmark,P0A6A3,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/Km/AlphaFold/P0A6A3.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6A3.pdb
benchmark,P0A6B4,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P0A6B4.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6B4.pdb
benchmark,P0A6D3,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P0A6D3.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6D3.pdb
benchmark,P0A6D5,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P0A6D5.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6D5.pdb
benchmark,P0A6D7,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6D7.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6D7.pdb
benchmark,P0A6E1,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/Km/AlphaFold/P0A6E1.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6E1.pdb
benchmark,P0A6G3,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6G3.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6G3.pdb
benchmark,P0A6I0,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P0A6I0.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6I0.pdb
benchmark,P0A6I3,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P0A6I3.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6I3.pdb
benchmark,P0A6J1,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6J1.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6J1.pdb
benchmark,P0A6J8,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6J8.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6J8.pdb
benchmark,P0A6L0,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P0A6L0.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6L0.pdb
benchmark,P0A6L4,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P0A6L4.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6L4.pdb
benchmark,P0A6V1,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6V1.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6V1.pdb
benchmark,P0A6V5,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6V5.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6V5.pdb
benchmark,P0A6V8,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/AlphaFold/P0A6V8.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6V8.pdb
benchmark,P0A6W0,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6W0.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6W0.pdb
benchmark,P0A6W9,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6W9.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6W9.pdb
benchmark,P0A6X1,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/AlphaFold/P0A6X1.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A6X1.pdb
benchmark,P0A715,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P0A715.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A715.pdb
benchmark,P0A731,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P0A731.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A731.pdb
benchmark,P0A749,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/Km/RCSB PDB/P0A749.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A749.pdb
benchmark,P0A752,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A752.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A752.pdb
benchmark,P0A759,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P0A759.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A759.pdb
benchmark,P0A786,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/Km/RCSB PDB/P0A786.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A786.pdb
benchmark,P0A790,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P0A790.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A790.pdb
benchmark,P0A796,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/Km/RCSB PDB/P0A796.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A796.pdb
benchmark,P0A799,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/Km/RCSB PDB/P0A799.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A799.pdb
benchmark,P0A7A9,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P0A7A9.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A7A9.pdb
benchmark,P0A7B3,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/AlphaFold/P0A7B3.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A7B3.pdb
benchmark,P0A7D4,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P0A7D4.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A7D4.pdb
benchmark,P0A7E5,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P0A7E5.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P0A7E5.pdb
